step,cramer_l2_dirac,cf_l2_w_dirac,cramer_l2_dirac_std,cf_l2_w_dirac_std
1000.0,0.006677969161478246,0.005289544251758252,0.0,0.0
2000.0,0.004908853403524451,0.004020740243211988,0.0,0.0
3000.0,0.004237514326448949,0.0031557616640657906,0.0,0.0
4000.0,0.003567870722486217,0.0026666486649262015,0.0,0.0
5000.0,0.0033775514499896184,0.0023286999777429465,0.0,0.0
6000.0,0.003180343165774707,0.0020549643638939157,0.0,0.0
7000.0,0.002458221687567269,0.0017681559780646527,0.0,0.0
8000.0,0.0027286445959653046,0.001817336758848804,0.0,0.0
9000.0,0.002999907008658342,0.001771482380126597,0.0,0.0
10000.0,0.00208530007844448,0.0013402816698233487,0.0,0.0
11000.0,0.0025448761529930797,0.0018322893209363352,0.0,0.0
12000.0,0.0024957571367562655,0.0017366674520253934,0.0,0.0
13000.0,0.0025652919019459536,0.0017828442481722015,0.0,0.0
14000.0,0.00235561449770378,0.001463587550468963,0.0,0.0
15000.0,0.0020641436440355797,0.0014099083777970166,0.0,0.0
16000.0,0.002161097944345447,0.0012433146462197597,0.0,0.0
17000.0,0.002208314842431175,0.0014366118808128753,0.0,0.0
18000.0,0.002129057996716018,0.0012033406751363906,0.0,0.0
19000.0,0.002138584585150665,0.0013205269708650305,0.0,0.0
20000.0,0.002110425644598608,0.0012646970973713872,0.0,0.0
