algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
ctd,phi_mse,0.23548677950574762,0.11933064515587276,0.23316079009869095,0.23795931772253057,0.0,0.0,0.0,0.0
ctd,ks,0.20861324449269536,0.14327919631641947,0.23917066921519686,0.20029724021514372,0.0,0.0,0.0,0.0
ctd,w1,0.2817240363812139,0.4053581607755191,0.3686764070949429,0.3114517866056709,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027122972194866132,0.020988042278542396,0.038403028285585186,0.027589408100088343,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.020889444333473894,0.01623876914224449,0.03175882854573603,0.02190822565882486,0.0,0.0,0.0,0.0
ctd,cvar_err,22.867685144827156,23.11644695953113,22.42281036378532,30.906703157815006,0.0,0.0,0.0,0.0
ctd,er_err,0.09512392834882095,nan,0.1521808386705821,0.10963224489571173,0.0,0.0,0.0,0.0
ctd,mean_err,0.047826605030873055,nan,0.12817584575944346,0.04416301564343402,0.0,0.0,0.0,0.0
ctd,var_err,0.1574514073586675,nan,0.19464506435408996,0.1499978877690871,0.0,0.0,0.0,0.0
ctd,mv_err,0.049352867105711136,nan,0.14056035347280535,0.03986141385713604,0.0,0.0,0.0,0.0
qtd,phi_mse,0.006100955999313438,0.007923219631416189,0.027366670993186466,0.01070365292019142,0.0,0.0,0.0,0.0
qtd,ks,0.0899151400267879,0.10726429173085612,0.17440545445482084,0.11964248400966278,0.0,0.0,0.0,0.0
qtd,w1,0.20266901839151094,0.4117020001459692,0.3685766226306673,0.2562545661866322,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009890868129062294,0.018459234126353117,0.038842089431560825,0.013580493093404044,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009631831027785863,0.01808717256703647,0.03844692128250029,0.013183114138132208,0.0,0.0,0.0,0.0
qtd,cvar_err,23.383279411873144,24.09504742311197,22.793434646835145,31.403798537454556,0.0,0.0,0.0,0.0
qtd,er_err,0.04802871272391068,nan,0.11310265526982326,0.04544714759159471,0.0,0.0,0.0,0.0
qtd,mean_err,0.045843362365633425,nan,0.05149099653881848,0.03700145673829707,0.0,0.0,0.0,0.0
qtd,var_err,0.3317419723207072,nan,1.6640340988516054,0.5465977177754471,0.0,0.0,0.0,0.0
qtd,mv_err,0.05414050333668278,nan,0.14328595244821696,0.06123614590005953,0.0,0.0,0.0,0.0
dirac,phi_mse,0.027421421289374893,0.0507061256354192,0.017477147868716535,0.016493546427554327,0.0,0.0,0.0,0.0
dirac,ks,0.07357639985698872,0.07637118618484506,0.05968003940773873,0.05226203587117338,0.0,0.0,0.0,0.0
dirac,w1,0.10462545872532708,0.18658400290387483,0.08087435449824337,0.10829335990793254,0.0,0.0,0.0,0.0
dirac,cramer_l2,0.002649562257734087,0.004980857002912539,0.0018784534789674197,0.001691780550421475,0.0,0.0,0.0,0.0
dirac,cf_l2_w,0.0019039675405859472,0.0034359022574212113,0.0011379840499497157,0.0010239114415782874,0.0,0.0,0.0,0.0
dirac,cvar_err,23.001500786626007,16.71537773601021,22.57039247231792,29.183127525051596,0.0,0.0,0.0,0.0
dirac,er_err,0.021826976244520794,nan,0.027688936934572025,0.0205239336604639,0.0,0.0,0.0,0.0
dirac,mean_err,0.021636677492258696,nan,0.02378782843500376,0.13071267109000342,0.0,0.0,0.0,0.0
dirac,var_err,0.09411779762028318,nan,0.11034802802133738,23.300963325734283,0.0,0.0,0.0,0.0
dirac,mv_err,0.024819073163908755,nan,0.01708500952461381,2.4608065816601217,0.0,0.0,0.0,0.0
phi_cat,phi_mse,0.25453687815091514,0.126543165404423,0.25647909192104196,0.264078268004819,0.0,0.0,0.0,0.0
phi_cat,ks,0.21757487951214652,0.13397635796070517,0.2438963367519822,0.22061641232390825,0.0,0.0,0.0,0.0
phi_cat,w1,0.2801769248688511,0.28362550026198247,0.28931582412771534,0.28647038927229684,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.027803134000549797,0.014685290587944464,0.0349654859984935,0.02906115323319728,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.0204758910801736,0.011620732016951244,0.028703337186603842,0.022925985434364783,0.0,0.0,0.0,0.0
phi_cat,cvar_err,22.993613875113212,22.81226610618935,22.785338890972014,30.160863771770103,0.0,0.0,0.0,0.0
phi_cat,er_err,0.11473786204497094,nan,0.06072235602416232,0.13247323597574084,0.0,0.0,0.0,0.0
phi_cat,mean_err,0.02424753795432046,nan,0.02287586817611591,0.06046492263829507,0.0,0.0,0.0,0.0
phi_cat,var_err,0.025258853788379176,nan,0.17790250598990823,1.1381714895975776,0.0,0.0,0.0,0.0
phi_cat,mv_err,0.025531656721380216,nan,0.03933293842573098,0.1740719834413603,0.0,0.0,0.0,0.0
phi_qt,phi_mse,0.011182586736371696,0.010561010941849537,0.02813185049201892,0.020868350963929114,0.0,0.0,0.0,0.0
phi_qt,ks,0.04365478803337428,0.03438139953153059,0.0644409462251104,0.05511553295587971,0.0,0.0,0.0,0.0
phi_qt,w1,0.08450737996577058,0.18089971555370263,0.10858314320869297,0.12581609446038652,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.0012544626543245568,0.0017177431966764853,0.002733505837719232,0.0019263428049079525,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.0007777213210540825,0.002554274397722256,0.0022241408208955216,0.0014483500406092312,0.0,0.0,0.0,0.0
phi_qt,cvar_err,23.015391305281927,23.17316015286199,22.54021435721477,31.050325307624014,0.0,0.0,0.0,0.0
phi_qt,er_err,0.016889198969671542,nan,0.012175578430070336,0.03775091921340299,0.0,0.0,0.0,0.0
phi_qt,mean_err,0.015478382969470258,nan,0.011373580070723798,0.031352428998906307,0.0,0.0,0.0,0.0
phi_qt,var_err,0.006802804318066381,nan,0.02057844095836081,0.09968774300985946,0.0,0.0,0.0,0.0
phi_qt,mv_err,0.015456301361314363,nan,0.011257111204554724,0.021858433261469832,0.0,0.0,0.0,0.0
