env,variant,step,return,ci
SpaceInvaders-MinAtar,ABL2-PhiTD-MoG-UNIFORM,10000000,76.4,9.6
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-PARETO_1,2000000,29.6,3.6
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-PARETO_1,4000000,46.2,2.0
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-PARETO_1,6000000,60.5,2.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-PARETO_1,8000000,69.8,4.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-PARETO_1,10000000,75.7,4.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,2000000,31.7,2.3
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,4000000,48.4,3.4
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,6000000,58.3,3.4
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,8000000,63.2,2.3
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,10000000,74.0,3.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-UNIFORM,2000000,23.5,1.7
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-UNIFORM,4000000,43.4,2.4
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-UNIFORM,6000000,50.4,1.5
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-UNIFORM,8000000,57.4,2.3
SpaceInvaders-MinAtar,ABL2-PhiTD-FCm-UNIFORM,10000000,64.2,7.4
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-PARETO_1,2000000,39.8,3.6
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-PARETO_1,4000000,54.9,5.1
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-PARETO_1,6000000,65.8,1.6
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-PARETO_1,8000000,76.1,2.3
