algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
iqn,phi_mse,0.006957011507571066,0.006990242519809,0.025687014404583552,0.011745899858494413,0.0,0.0,0.0,0.0
iqn,ks,0.09417501043547172,0.09898488733348491,0.16593594675588333,0.13169314786114839,0.0,0.0,0.0,0.0
iqn,w1,0.20674904417586099,0.3532538346007677,0.35709828279575667,0.26197704595706117,0.0,0.0,0.0,0.0
iqn,cramer_l2,0.010691132584451936,0.015612508103774743,0.03560569453801252,0.01569064385279055,0.0,0.0,0.0,0.0
iqn,cf_l2_w,0.010415795835328088,0.014850345355873549,0.03526280811431959,0.015185343144601259,0.0,0.0,0.0,0.0
iqn,cvar_err,23.41930059521959,21.005936775970746,22.79642987950194,31.442556058986387,0.0,0.0,0.0,0.0
iqn,er_err,0.04963731688853319,nan,0.08209024609220932,0.0402544559810853,0.0,0.0,0.0,0.0
iqn,mean_err,0.05088111988714116,nan,0.0556311244325821,0.04710477442614704,0.0,0.0,0.0,0.0
iqn,var_err,0.32962809905591073,nan,1.5882742463481867,0.5425517630953038,0.0,0.0,0.0,0.0
iqn,mv_err,0.06411393202372072,nan,0.186205036900038,0.08888878253005436,0.0,0.0,0.0,0.0
qtd,phi_mse,0.0061070553930815475,0.007961820735660471,0.027788768657982604,0.010854800373152203,0.0,0.0,0.0,0.0
qtd,ks,0.0892958092884478,0.10799560880509858,0.1762008190912197,0.12116059373559594,0.0,0.0,0.0,0.0
qtd,w1,0.20299191508808057,0.4182102434915204,0.3724834614247839,0.25721041776882286,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009865190070102463,0.01895322673308741,0.039570812519824056,0.01377403174851014,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009621833688979287,0.01851974316547678,0.039224893444925905,0.01336722990523343,0.0,0.0,0.0,0.0
qtd,cvar_err,23.38348048649819,24.0916428369619,22.786139437254455,31.411836939822503,0.0,0.0,0.0,0.0
qtd,er_err,0.047206369735277635,nan,0.11576771405941477,0.04325649472728307,0.0,0.0,0.0,0.0
qtd,mean_err,0.04436083646821152,nan,0.05255308478834378,0.035962925689510594,0.0,0.0,0.0,0.0
qtd,var_err,0.3325377697879559,nan,1.6794448925060337,0.5435907110596311,0.0,0.0,0.0,0.0
qtd,mv_err,0.051803025097580904,nan,0.14350823802483312,0.06198515845601489,0.0,0.0,0.0,0.0
ctd,phi_mse,0.23644770330918014,0.11934132269474942,0.2336758161487533,0.2376803524094059,0.0,0.0,0.0,0.0
ctd,ks,0.21002783826474966,0.14177642245215746,0.24052353239141838,0.19881667651390636,0.0,0.0,0.0,0.0
ctd,w1,0.2816518383901993,0.39711894184369506,0.3764334813275328,0.31182506852822667,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027239393012092224,0.02090799029742213,0.039069391686445194,0.027661894905578247,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.020770276134136362,0.01638413663485174,0.03217935552098108,0.021899020450681515,0.0,0.0,0.0,0.0
ctd,cvar_err,22.874521690847036,23.153801810300518,22.419571254128154,30.906489037706937,0.0,0.0,0.0,0.0
ctd,er_err,0.10120271934718743,nan,0.16601555708480903,0.11327631623058182,0.0,0.0,0.0,0.0
ctd,mean_err,0.044298135305945285,nan,0.1395319185512373,0.045211342647291874,0.0,0.0,0.0,0.0
ctd,var_err,0.14700005936981894,nan,0.1790183812741059,0.14929370030783334,0.0,0.0,0.0,0.0
ctd,mv_err,0.047716446435290945,nan,0.15026831881849548,0.040102421393255205,0.0,0.0,0.0,0.0
mog_cqn,phi_mse,4.028194311456354e-05,0.00034740593776359807,0.0020954621868698444,0.006205937973822866,0.0,0.0,0.0,0.0
mog_cqn,ks,0.01101697360173377,0.015293267834741766,0.022490802821683524,0.04521110696960982,0.0,0.0,0.0,0.0
mog_cqn,w1,0.050508550869019606,0.04828722160475001,0.03671593347019296,0.07406157461214255,0.0,0.0,0.0,0.0
mog_cqn,cramer_l2,0.00036024220156331355,0.0002540832256377948,0.00032971532274504424,0.0007740201996360847,0.0,0.0,0.0,0.0
mog_cqn,cf_l2_w,0.0002615032657542597,0.00023223166479129133,0.000303412297028698,0.0005658463754097891,0.0,0.0,0.0,0.0
mog_cqn,cvar_err,22.989045209297,21.74386460028684,22.563152004201694,29.235741105975915,0.0,0.0,0.0,0.0
mog_cqn,er_err,0.0224363436807959,nan,0.014297154883921047,0.017858696774975875,0.0,0.0,0.0,0.0
mog_cqn,mean_err,0.02247697636600389,nan,0.014182958319783211,0.12196234543416369,0.0,0.0,0.0,0.0
mog_cqn,var_err,0.014492008191349166,nan,0.038730422574174805,20.323213078321377,0.0,0.0,0.0,0.0
mog_cqn,mv_err,0.022610923507866497,nan,0.01350710002611789,2.154183337193348,0.0,0.0,0.0,0.0
