step,cramer_l2_mog_cqn,cf_l2_w_mog_cqn,cramer_l2_mog_cqn_std,cf_l2_w_mog_cqn_std
1000.0,0.0017691137382642756,0.001795298556080259,0.0,0.0
2000.0,0.0007791275994580974,0.0007049978038782312,0.0,0.0
3000.0,0.0005741526590126906,0.0005150021014058973,0.0,0.0
4000.0,0.0006050845256917066,0.0005283774700693969,0.0,0.0
5000.0,0.00043170919396818327,0.00037551256614294984,0.0,0.0
6000.0,0.0002885688506206748,0.0002567833670734892,0.0,0.0
7000.0,0.0003333532648212431,0.00025528226191089414,0.0,0.0
8000.0,0.00040054120369963195,0.00030635911479499813,0.0,0.0
9000.0,0.0004260325748499141,0.00034057180469053785,0.0,0.0
10000.0,0.00031077342569287757,0.00024994767363431617,0.0,0.0
11000.0,0.0003386211204777516,0.00030485313379705937,0.0,0.0
12000.0,0.0004201372695834671,0.0003652805946754515,0.0,0.0
13000.0,0.0005004025004335214,0.00031392571380253536,0.0,0.0
14000.0,0.00045664408318984377,0.00042282760473324283,0.0,0.0
15000.0,0.0004577512629297726,0.00028959787045309366,0.0,0.0
16000.0,0.0003780009735857192,0.00032067628125970546,0.0,0.0
17000.0,0.0004941489871456483,0.00032070742856234223,0.0,0.0
18000.0,0.0005576832863051055,0.00034964751485938063,0.0,0.0
19000.0,0.0003732832293030184,0.0003559541528056391,0.0,0.0
20000.0,0.000377171883266193,0.0002671496072697355,0.0,0.0
