step,cramer_l2_mog_cqn,cf_l2_w_mog_cqn,cramer_l2_mog_cqn_std,cf_l2_w_mog_cqn_std
1000.0,0.0017691137382642756,0.01128019350956421,0.0,0.0
2000.0,0.0007791275994580974,0.004429631842921578,0.0,0.0
3000.0,0.0005741526590126906,0.0032358536367201457,0.0,0.0
4000.0,0.0006050845256917066,0.0033198935565847566,0.0,0.0
5000.0,0.00043170919396818327,0.002359415038250685,0.0,0.0
6000.0,0.0002885688506206748,0.0016134174791242496,0.0,0.0
7000.0,0.0003333532648212431,0.001603985757222101,0.0,0.0
8000.0,0.00040054120369963195,0.0019249110888004764,0.0,0.0
9000.0,0.0004260325748499141,0.002139875759271223,0.0,0.0
10000.0,0.00031077342569287757,0.0015704675505428538,0.0,0.0
11000.0,0.0003386211204777516,0.001915448731121336,0.0,0.0
12000.0,0.0004201372695834671,0.002295125665462619,0.0,0.0
13000.0,0.0005004025004335214,0.001972453432509954,0.0,0.0
14000.0,0.00045664408318984377,0.002656704193529849,0.0,0.0
15000.0,0.0004577512629297726,0.0018195970846213755,0.0,0.0
16000.0,0.0003780009735857192,0.00201486849877197,0.0,0.0
17000.0,0.0004941489871456483,0.0020150642030462556,0.0,0.0
18000.0,0.0005576832863051055,0.0021969001280563163,0.0,0.0
19000.0,0.0003732832293030184,0.002236525902937949,0.0,0.0
20000.0,0.000377171883266193,0.0016785504872159987,0.0,0.0
