step,cramer_l2_dirac,cf_l2_w_dirac,cramer_l2_dirac_ci95,cf_l2_w_dirac_ci95
1000.0,0.1667678433291643,0.15674863173385534,0.0,0.0
2000.0,0.05555200971209141,0.05159836312937614,0.0,0.0
3000.0,0.02874883516510276,0.026456994000233124,0.0,0.0
4000.0,0.04548420210316856,0.04043549516654891,0.0,0.0
5000.0,0.02740796273120525,0.02550790252909984,0.0,0.0
6000.0,0.045924879279917945,0.04354827212523876,0.0,0.0
7000.0,0.042429217314357545,0.03805024384954616,0.0,0.0
8000.0,0.01913060862203759,0.016694453636881473,0.0,0.0
9000.0,0.017021709962544037,0.015613965730675288,0.0,0.0
10000.0,0.03480636383488334,0.032724254118326336,0.0,0.0
11000.0,0.014572861848211549,0.01286364879875991,0.0,0.0
12000.0,0.028548639535505276,0.025787255377865415,0.0,0.0
13000.0,0.02083679769001672,0.019502527971446346,0.0,0.0
14000.0,0.016221829400945634,0.013561678430151646,0.0,0.0
15000.0,0.025318608071641657,0.024069145457487433,0.0,0.0
16000.0,0.021434394006137635,0.01946792523429789,0.0,0.0
17000.0,0.013773545397144865,0.012071736299949695,0.0,0.0
18000.0,0.012611658420575031,0.010563745476403229,0.0,0.0
19000.0,0.01012932014587435,0.008679861721815674,0.0,0.0
20000.0,0.016522020248807112,0.014753594643348848,0.0,0.0
