algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.28245893723971516,0.40686097830197687,0.3645926905120262,0.31149305846024256,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027341308464016674,0.021265476267193644,0.038164876614658484,0.02757365123663556,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.0209832728054255,0.016498919893925545,0.03156457320495774,0.02189408756834301,0.0,0.0,0.0,0.0
qtd,w1,0.19992926891918025,0.4145928141531268,0.3732557814016586,0.25651904061158914,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009521479859922749,0.018502474096832994,0.03997605400078991,0.013767940602719528,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009286148740362035,0.018094747299918446,0.039654447763162855,0.01336581631375925,0.0,0.0,0.0,0.0
dirac,w1,0.17386143975959434,0.8025514831245141,0.34477993809404783,0.2414404043480839,0.0,0.0,0.0,0.0
dirac,cramer_l2,0.010085336120321645,0.04434990854691368,0.021433104447632904,0.010396173631371988,0.0,0.0,0.0,0.0
dirac,cf_l2_w,0.009235365809818753,0.03867194265314924,0.019741400350985244,0.0096116728088738,0.0,0.0,0.0,0.0
phi_cat,w1,0.3083713778503453,0.6662843888744377,0.495581020870461,0.3603047900669698,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.029570512382864136,0.048877646933761745,0.05349351178216236,0.03159732856964362,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.02470786790198925,0.04005036349506165,0.04154766892003479,0.028739641101976004,0.0,0.0,0.0,0.0
phi_qt,w1,0.2618529652219759,0.646511473864269,0.30396370555389896,0.2950883649127553,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.019140494327746022,0.026720010233400034,0.018561786910585375,0.01987972176893801,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.017414551182539196,0.023695683605332793,0.01789726558295499,0.01843525774255065,0.0,0.0,0.0,0.0
