algorithm,Gauss,Cauchy,MoG,Gam
phi_mog,0.00022272635699063662,0.000216839726401018,0.00047796698801923465,0.0004966956864690884
phi_moc,0.0023640373727903613,0.0001583437813024266,0.0008483117756240808,0.0012294694213806309
phi_mogamma,0.26140012887888564,0.7255127446442666,0.6957593390495845,0.00022728022043302348
phi_cat,0.020695022823140796,0.011590249423956372,0.028689963834836702,0.02291482554370821
phi_qt,0.0007196112105850528,0.002734103875505424,0.002335506537736333,0.0012826408711621269
