algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.2871687982631662,0.5116854691272252,0.3841967292922252,0.32192227571617016,0.006053647870389693,0.017067103303653377,0.017986240380559727,0.005853424383002188
ctd,cramer_l2,0.028429936952214456,0.03075504471295006,0.04106947673018387,0.029504764685379707,0.0016291300081840725,0.0020359839249587497,0.001555109254559224,0.0006176942595474327
ctd,cf_l2_w,0.02226752438638515,0.024990501663902744,0.03445154208295058,0.023551976249171293,0.0004973408085404368,0.0013877370829489019,0.0018295324604826412,0.0007356321538110929
qtd,w1,0.2011778576664071,0.46388719401027617,0.40276811521103867,0.2512101130181863,0.020192916843483254,0.02503916855091101,0.018565287278761635,0.018761225154319123
qtd,cramer_l2,0.01010564427768175,0.02362975050551505,0.04633346592789427,0.013776154429677018,0.002195007100007784,0.003095871764279689,0.0042044821273318775,0.003655592544267439
qtd,cf_l2_w,0.009751870615540458,0.022298894552983825,0.0458413505122071,0.01323407321253156,0.002183133220656516,0.003052470435822479,0.004226517381562766,0.00329585873073986
dirac,w1,0.15168074519832628,0.43900653910446674,0.25139488041922203,0.1665249310366787,0.021968718232530604,0.07766599028878372,0.10651279297892731,0.016330686986809638
dirac,cramer_l2,0.0066499069557206456,0.015417506722266388,0.013568889140573592,0.004660474513406105,0.0029470578302106336,0.004986404994786715,0.012776316462808067,0.0011303488060924142
dirac,cf_l2_w,0.00578971616002003,0.012926603147239115,0.012395820892167397,0.0038239984165332488,0.0027164133969990014,0.0044824159233649115,0.01246650854448558,0.0010178463786185846
phi_cat,w1,0.2923884439430706,0.44651886346810654,0.37218746100420796,0.3182438667810092,0.006772418063192705,0.013254702765460633,0.04243168530660262,0.006354656783832935
phi_cat,cramer_l2,0.028889393620673203,0.02446550062197573,0.0364635434638785,0.028554279507042035,0.0014436243704607971,0.001980374204680981,0.0018277648147815957,0.0011140362985891273
phi_cat,cf_l2_w,0.022596257756481813,0.020734521243980918,0.031425953352504477,0.02281444052754607,0.0008939722453247973,0.0017844919949396992,0.0023607115370927823,0.0012121357306236424
phi_qt,w1,0.15093422768732134,0.3711238118654771,0.18922085785313364,0.15745064891778843,0.03197476596918035,0.020094020262877307,0.0179473410071806,0.015048384948346516
phi_qt,cramer_l2,0.006027115392918313,0.009432094254014109,0.007822898975551237,0.003725490406684006,0.0031251941805125567,0.0016764326594843595,0.0013448265907167348,0.0011687786413560619
phi_qt,cf_l2_w,0.0053852383039589835,0.008581992341835492,0.007326026503635415,0.0030983235858353256,0.002971281925595037,0.0017397650925387678,0.0013043860500765274,0.0011237132277036284
