algorithm,Gauss,Cauchy,MoG,Gam
phi_mog,0.0005815634809800413,0.0019347707467858271,0.002710499317914321,0.0012450737557221784
phi_moc,0.0017730178492644374,0.00025827806142876965,0.001000565769475531,0.0016040830549344655
phi_mogamma,0.26248039993044947,0.7451813593100632,0.6962417340638948,0.002369488651612499
phi_cat,0.021117947074973536,0.0142349598557203,0.030473825663243533,0.02314846538007474
phi_qt,0.001650856406276186,0.003735749068346287,0.003316670624916224,0.00330000942588803
