algorithm,metric,Gauss,Cauchy,MoG,Gam
phi_mog,w1,0.061929355272605735,0.1578215622598886,0.13489555497712072,0.08571506822377713
phi_mog,cramer_l2,0.0006799082818541725,0.0027915262245849413,0.003142783859581558,0.0015092087041244841
phi_mog,cf_l2_w,0.0005815634809800413,0.0019347707467858271,0.002710499317914321,0.0012450737557221784
phi_moc,w1,0.10233256424304708,0.044630442951229914,0.07612157161253245,0.13360706618297677
phi_moc,cramer_l2,0.002675562097009331,0.00030776079323981343,0.0016977511256962192,0.0025733498858260687
phi_moc,cf_l2_w,0.0017730178492644374,0.00025827806142876965,0.001000565769475531,0.0016040830549344655
phi_mogamma,w1,0.7105047211863641,2.582291778652513,1.9469727603210147,0.12479726049350902
phi_mogamma,cramer_l2,0.29821924109814857,0.8109548311653947,0.7369345884940416,0.002236719010782074
phi_mogamma,cf_l2_w,0.26248039993044947,0.7451813593100632,0.6962417340638948,0.002369488651612499
phi_cat,w1,0.28409176219506166,0.38016690663236274,0.32886370251135255,0.2999216929930418
phi_cat,cramer_l2,0.02809502854694774,0.018117638353045654,0.036928321600736704,0.028752311918960414
phi_cat,cf_l2_w,0.021117947074973536,0.0142349598557203,0.030473825663243533,0.02314846538007474
phi_qt,w1,0.10224809339330566,0.22400886975707668,0.13574701658018415,0.17956390802919028
phi_qt,cramer_l2,0.002186490267569555,0.003315690838260987,0.003921758936271675,0.003716611961098448
phi_qt,cf_l2_w,0.001650856406276186,0.003735749068346287,0.003316670624916224,0.00330000942588803
