step,w1_phi_mog,cramer_l2_phi_mog,cf_l2_w_phi_mog
1000.0,0.17002348647571516,0.0050710033500951735,0.004912437027988411
2000.0,0.11223220417263848,0.001671280231739058,0.001511081335255713
3000.0,0.11391126191082807,0.002209984090267456,0.002047345493833214
4000.0,0.11550386247134214,0.0026740623689299483,0.002494650766951797
5000.0,0.09527817108755439,0.00176933373086912,0.0016799352252677888
6000.0,0.0908269574000726,0.0019817908167905985,0.0019414822227915472
7000.0,0.0939221675819405,0.0015463782324455588,0.0013726277284269973
8000.0,0.08749600275360725,0.0014682022686759626,0.0012947625342970557
9000.0,0.08628681659084574,0.0013573617070805973,0.0012112546725492803
10000.0,0.07957088878231831,0.0014442910672086246,0.0013392815143569857
11000.0,0.08323133990396754,0.0013319675106872402,0.0012640203095144829
12000.0,0.07787142780617073,0.0013430639466794057,0.0012248126604972342
13000.0,0.13710940049464693,0.0033620862787837524,0.002836457032672108
14000.0,0.0813097340151425,0.0011525766651245834,0.0010387073496255172
15000.0,0.09584245657293623,0.0014652922153322386,0.0012754579596624912
16000.0,0.10432586021523493,0.001993881973247345,0.0016833672389089272
17000.0,0.08500653576777484,0.0012633352020992267,0.0011659087653928784
18000.0,0.09286184713264431,0.0011550545742415304,0.0009358756762703948
19000.0,0.0849997137508642,0.0013183083771836478,0.001152210830783943
20000.0,0.10824312327269832,0.0015829986343495071,0.001225019809451981
