algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
ctd,phi_mse,0.2363141908440105,0.11904357975924094,0.23262894913711651,0.23791788323224514,0.0,0.0,0.0,0.0
ctd,ks,0.20980729582606272,0.1424455255627298,0.23818042704640321,0.20043726691136862,0.0,0.0,0.0,0.0
ctd,w1,0.28203225148665695,0.40084468542357665,0.36353412178085437,0.31141800032026046,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027266681013297375,0.02073543176192158,0.03783509372424852,0.02759517456188055,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.02095868632756462,0.016287485066064023,0.031293660370515314,0.021873540116997534,0.0,0.0,0.0,0.0
ctd,cvar_err,22.871787360916617,23.058934492929936,22.41431291299426,30.906268313804816,0.0,0.0,0.0,0.0
ctd,er_err,0.09832745132492852,nan,0.1451099016780934,0.11175596008736531,0.0,0.0,0.0,0.0
ctd,mean_err,0.0488675279325533,nan,0.12035346487039933,0.04378870611222737,0.0,0.0,0.0,0.0
ctd,var_err,0.15054027234913708,nan,0.19128151830456658,0.14149974995204556,0.0,0.0,0.0,0.0
ctd,mv_err,0.051074892682797246,nan,0.13243103942248985,0.040036275998693194,0.0,0.0,0.0,0.0
qtd,phi_mse,0.006183514031395082,0.008031672889541692,0.027861219088557335,0.01098883666304583,0.0,0.0,0.0,0.0
qtd,ks,0.0901966781023896,0.10863651495933607,0.17612464895928798,0.1214322972720469,0.0,0.0,0.0,0.0
qtd,w1,0.2037448428755303,0.4172920604894661,0.3725701639828971,0.2569100244662185,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.010019255179425082,0.018924703563438398,0.03960114197879323,0.013806688698148653,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009758040016983915,0.01846349668626387,0.03925031363615602,0.013398570063855576,0.0,0.0,0.0,0.0
qtd,cvar_err,23.384569025656504,24.11666543003703,22.79163450532644,31.406791130782903,0.0,0.0,0.0,0.0
qtd,er_err,0.04787080505454488,nan,0.11282356851497431,0.04497467502263632,0.0,0.0,0.0,0.0
