step,cramer_l2_dirac,cf_l2_w_dirac,cramer_l2_dirac_std,cf_l2_w_dirac_std
1000.0,0.006346862860072051,0.004904352768074735,0.0,0.0
2000.0,0.0050004512647973814,0.003677640177574751,0.0,0.0
3000.0,0.004258426021712577,0.0028652763295775848,0.0,0.0
4000.0,0.0034486596807952108,0.0024647947013042865,0.0,0.0
5000.0,0.003948256858726035,0.0024386227500344344,0.0,0.0
6000.0,0.0029736237655985237,0.001988097834209707,0.0,0.0
7000.0,0.0025757569675144924,0.0018584964187549375,0.0,0.0
8000.0,0.0029843360159073733,0.002056335776496566,0.0,0.0
9000.0,0.0027081006951419663,0.0017623078453069165,0.0,0.0
10000.0,0.002177561463902823,0.001391942693240513,0.0,0.0
11000.0,0.0023784796533202015,0.0015481587401589038,0.0,0.0
12000.0,0.0030176011040861086,0.0020645399463211653,0.0,0.0
13000.0,0.002633368186264313,0.001761457062660786,0.0,0.0
14000.0,0.002405584956151123,0.0017220651170778067,0.0,0.0
15000.0,0.0026181479323092497,0.0015627372280668326,0.0,0.0
16000.0,0.0024562703036897443,0.0016615256924195838,0.0,0.0
17000.0,0.002709014508247634,0.0016946488674070667,0.0,0.0
18000.0,0.0021930173791836756,0.0014205077759763224,0.0,0.0
19000.0,0.002532992165340295,0.0016091319080312372,0.0,0.0
20000.0,0.002539500185278636,0.001586859446204114,0.0,0.0
