algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
phi_mog,w1,0.047818384228400096,0.04811259538657845,0.050735951602274794,0.07770090781713716,0.0,0.0,0.0,0.0
phi_mog,cramer_l2,0.0003232238815095935,0.0002829192020727797,0.0005164235362823337,0.0007363903673730306,0.0,0.0,0.0,0.0
phi_mog,cf_l2_w,0.00022398338229089637,0.00021431343562724,0.0004651974299069475,0.0005381648511983373,0.0,0.0,0.0,0.0
phi_moc,w1,0.12026331303265538,0.03718086943618122,0.07598809981662183,0.13196039749850277,0.0,0.0,0.0,0.0
phi_moc,cramer_l2,0.003856498328661103,0.00017780434905111567,0.001688553593980397,0.0025101410610291583,0.0,0.0,0.0,0.0
phi_moc,cf_l2_w,0.0025110423110937894,0.00015286294962072117,0.0008665782217295384,0.0013552990247647188,0.0,0.0,0.0,0.0
phi_mogamma,w1,0.7165911373900488,2.4932014667009477,1.951562010865664,0.07441709802457386,0.0,0.0,0.0,0.0
phi_mogamma,cramer_l2,0.2974013357998793,0.7985665979838452,0.7371318839197087,0.0003711533456263122,0.0,0.0,0.0,0.0
phi_mogamma,cf_l2_w,0.26158426957456266,0.7250048967944273,0.6955615122832335,0.000246222832550602,0.0,0.0,0.0,0.0

