algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.2819057494414533,0.40245365325462934,0.362076557257897,0.31144645066515747,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027174030190437463,0.020780940933411644,0.03790473030262804,0.027589324522621677,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.02086828849935104,0.016281790532690556,0.031391022454903064,0.02192839042136538,0.0,0.0,0.0,0.0
qtd,w1,0.2013727254255515,0.4154280026268285,0.37169192583183236,0.25727854425967017,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009647299329358918,0.018627737677971025,0.039346714915762034,0.01385420288710852,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009395596165209472,0.018178896126013342,0.039040483177089136,0.013454292493955786,0.0,0.0,0.0,0.0
dirac,w1,0.1266306564966284,0.3689296856508985,0.201058395488872,0.15536678733225293,0.0,0.0,0.0,0.0
dirac,cramer_l2,0.003934272181469355,0.013629709578425957,0.008411597162854946,0.00326652009033531,0.0,0.0,0.0,0.0
dirac,cf_l2_w,0.0033439132176976863,0.012642968942545603,0.007661521430985502,0.0027442026369385777,0.0,0.0,0.0,0.0
phi_cat,w1,0.2833304149224626,0.3934171981660586,0.3112629634279891,0.3151735797541137,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.027353256329825666,0.020229096247982206,0.03470889265293035,0.028736683669131406,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.020944651903492893,0.016619519633809136,0.028913610200557622,0.022145881453489953,0.0,0.0,0.0,0.0
phi_qt,w1,0.12851310441268848,0.3827519413975801,0.19610395783736997,0.1538909634363551,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.004161596305622173,0.01035029830260946,0.008805694711459288,0.0035365756702201295,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.0036443633586422477,0.008899866307397393,0.008366297917023,0.0029967318266286877,0.0,0.0,0.0,0.0
