step,cramer_l2_dirac,cf_l2_w_dirac,cramer_l2_dirac_ci95,cf_l2_w_dirac_ci95
1000.0,0.01843596794113949,0.016748796541624943,0.0,0.0
2000.0,0.029872714123569337,0.026826221047470247,0.0,0.0
3000.0,0.025781051422063852,0.022839614629964256,0.0,0.0
4000.0,0.02567255608443353,0.024151510096075832,0.0,0.0
5000.0,0.009008134245796977,0.007333329420354318,0.0,0.0
6000.0,0.012275632023451161,0.010561735751004943,0.0,0.0
7000.0,0.010798629754012025,0.008265683387583449,0.0,0.0
8000.0,0.013072242944403083,0.011556792774990768,0.0,0.0
9000.0,0.00995108810008118,0.00819237158649987,0.0,0.0
10000.0,0.00813551449862331,0.006831192768996985,0.0,0.0
11000.0,0.008323044666815896,0.006900286529406864,0.0,0.0
12000.0,0.013272865758462796,0.011322669370972604,0.0,0.0
13000.0,0.0074676151115697425,0.006443969387898306,0.0,0.0
14000.0,0.007805877616684329,0.00623924187417083,0.0,0.0
15000.0,0.004495833830406494,0.0035644450680278436,0.0,0.0
16000.0,0.00785486984578997,0.007111233914395233,0.0,0.0
17000.0,0.006094986645333754,0.004712685051839763,0.0,0.0
18000.0,0.0064807981287456785,0.0062266886789216856,0.0,0.0
19000.0,0.004984237750393983,0.003907971660097904,0.0,0.0
20000.0,0.005154944222109934,0.00415836642364505,0.0,0.0
