algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
phi_mog,w1,0.06140845129736688,0.14001017157769882,0.12018478336622364,0.08419620505528706,0.0,0.0,0.0,0.0
phi_mog,cramer_l2,0.0006766256205767765,0.0022843573257294134,0.0029273442221450893,0.0016183807872855297,0.0,0.0,0.0,0.0
phi_mog,cf_l2_w,0.0005698735441503662,0.0015581246000255199,0.00256032669297062,0.0013423227982469227,0.0,0.0,0.0,0.0
phi_moc,w1,0.11965696861474452,0.037849537242330186,0.07608932830114222,0.13216539159136922,0.0,0.0,0.0,0.0
phi_moc,cramer_l2,0.003940806178395751,0.0001825030023990589,0.0017637952089102995,0.002498554978442794,0.0,0.0,0.0,0.0
phi_moc,cf_l2_w,0.002608265695511847,0.00015755523457077614,0.0008531918443755433,0.001347476269613903,0.0,0.0,0.0,0.0
phi_mogamma,w1,0.7163926130914916,2.5799479893139905,1.9552190101648448,0.12584557616943456,0.0,0.0,0.0,0.0
phi_mogamma,cramer_l2,0.2984417991421808,0.8119214705081097,0.7406481271483197,0.001809356616179949,0.0,0.0,0.0,0.0
phi_mogamma,cf_l2_w,0.26267362238024766,0.7463969374438983,0.7004857795811136,0.0018612658703025093,0.0,0.0,0.0,0.0
phi_cat,w1,0.28094121403341055,0.4090682955368093,0.33417970972016986,0.30690214956451795,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.027671045643405365,0.02058459195330321,0.03749149329900102,0.02874599066547625,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.020869912662179347,0.01651202261977054,0.03083603031341888,0.023090755128232714,0.0,0.0,0.0,0.0
phi_qt,w1,0.10174027944537278,0.21759415331648102,0.13888255631357405,0.18684629376582812,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.0022275210398132986,0.003043850220772368,0.004002865110345542,0.004065076704245972,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.0016775874115475843,0.003617080819609041,0.0034015098077051485,0.0036291029444779897,0.0,0.0,0.0,0.0
