step,w1_phi_mog,cramer_l2_phi_mog,cf_l2_w_phi_mog
1000.0,0.16838240160286763,0.004129144083375521,0.003758454828295279
2000.0,0.11310661260117727,0.0016738536344948402,0.0015091670600319142
3000.0,0.10749417167395366,0.002025798969880796,0.0018339160898190785
4000.0,0.1176581631458096,0.002684550652290888,0.0024850769333803688
5000.0,0.08537097506159744,0.001246090676827487,0.001176343196916194
6000.0,0.08773607277479595,0.00151561066835554,0.0014275854279242823
7000.0,0.09107229909676655,0.001598819954966389,0.0014290518227309894
8000.0,0.09002880889116548,0.0016126526265745115,0.0015056973611955785
9000.0,0.09306632429822104,0.0016565046149377965,0.0015399286941618988
10000.0,0.08249711918272165,0.0014425353132204652,0.0012874440142967027
11000.0,0.09412405248054928,0.0017666467186201133,0.0015656037209218578
12000.0,0.07977366032568128,0.0012698648343272114,0.001178060943068708
13000.0,0.12869924799416332,0.003057028095754729,0.0026313514814576386
14000.0,0.09390825543822043,0.0015728434262468,0.0014577374815114672
15000.0,0.10266667300182437,0.0018612397944901145,0.0015979422737624704
16000.0,0.08778431823306804,0.0014678205599125119,0.0012956977537660925
17000.0,0.08046974286543931,0.0009649870584174675,0.0008697425332147937
18000.0,0.0949057911442507,0.0013619106754305626,0.0010918582217742
19000.0,0.09366682252682383,0.001507627354617508,0.0013404734142860686
20000.0,0.09531079924559785,0.0013934639014177232,0.0011446086459235608
