algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.2811822493476515,0.4099226960416654,0.36589660990254935,0.31128032672400924,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027083081941791386,0.021394699790361998,0.03828927017397034,0.027497313760075137,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.02075774450637874,0.016466114323346236,0.03170943649223893,0.021868397314232506,0.0,0.0,0.0,0.0
qtd,w1,0.2009301007885758,0.4146663048578589,0.3687628210344053,0.256458925562951,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009657195147036517,0.01872642587179941,0.03903896933195103,0.013715699127852091,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009403865299749388,0.01828447925066774,0.03867441278058562,0.013325124807545982,0.0,0.0,0.0,0.0
dirac,w1,0.12797372874896853,0.3310262793629649,0.18582968926404875,0.15661557736197596,0.0,0.0,0.0,0.0
dirac,cramer_l2,0.004733345893639734,0.012307137749734454,0.00739941799761105,0.004097050030197407,0.0,0.0,0.0,0.0
dirac,cf_l2_w,0.0037381400412402357,0.009772020019757209,0.00605917877554861,0.003206028915390497,0.0,0.0,0.0,0.0
phi_cat,w1,0.2890854815389553,0.5076263862470771,0.38341717642593814,0.34762660958872,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.030143137314191562,0.032438295231079765,0.04135561062478232,0.03398012797545483,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.02330005694060647,0.025606842639331218,0.03389806896472038,0.027198278598568583,0.0,0.0,0.0,0.0
phi_qt,w1,0.10961480817676765,0.26274415498030534,0.14139440266277387,0.13640385214804582,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.00282910523268288,0.005675725523107307,0.005270050833097331,0.002506593005798113,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.0022768561701194076,0.006343805864788015,0.004614106354958004,0.001870146018571951,0.0,0.0,0.0,0.0
