algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
iqn,phi_mse,0.007062761975884671,0.007253545062369001,0.02530199439493498,0.011897286820308155,0.0,0.0,0.0,0.0
iqn,ks,0.09508970381227877,0.09892202143712105,0.16337805818838197,0.13134328997450612,0.0,0.0,0.0,0.0
iqn,w1,0.20958713958125091,0.35585554793210833,0.35794372223261156,0.26280711364553766,0.0,0.0,0.0,0.0
iqn,cramer_l2,0.010925031727458567,0.01567866340517879,0.03529675674877947,0.015592330794728753,0.0,0.0,0.0,0.0
iqn,cf_l2_w,0.01064214250118984,0.014946283007525395,0.03492439733229892,0.015105744175655264,0.0,0.0,0.0,0.0
iqn,cvar_err,23.42006069933861,21.422887614468372,22.77335674522788,31.43441689388732,0.0,0.0,0.0,0.0
iqn,er_err,0.04986142659923368,nan,0.07636122339261055,0.038157901738050455,0.0,0.0,0.0,0.0
iqn,mean_err,0.051365715754020276,nan,0.05004150102134602,0.043794175018270716,0.0,0.0,0.0,0.0
iqn,var_err,0.3372612605832495,nan,1.5827486906292374,0.5586021687787122,0.0,0.0,0.0,0.0
iqn,mv_err,0.06558867053133022,nan,0.18327929850349933,0.08653898338457039,0.0,0.0,0.0,0.0
qtd,phi_mse,0.005948858679851418,0.0078713842481877,0.027719248413130653,0.010721139925374924,0.0,0.0,0.0,0.0
qtd,ks,0.08872357272487222,0.10657324850449852,0.17569227402821283,0.11987831068343635,0.0,0.0,0.0,0.0
qtd,w1,0.20066906040016627,0.41156935250592286,0.371635697815801,0.256758983829623,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009667198788869921,0.01823507708419298,0.039375329493110414,0.013573861394744969,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009414694389385548,0.017869815357374766,0.03902005547128092,0.013194762879104269,0.0,0.0,0.0,0.0
qtd,cvar_err,23.382193124352362,24.090888036962056,22.794235892342286,31.403228720675898,0.0,0.0,0.0,0.0
qtd,er_err,0.04698244967621125,nan,0.11373313715751697,0.045022868214235755,0.0,0.0,0.0,0.0
qtd,mean_err,0.04516080642769117,nan,0.050390698513739174,0.03554983036121543,0.0,0.0,0.0,0.0
qtd,var_err,0.328120208595009,nan,1.678253904570033,0.5503305282195075,0.0,0.0,0.0,0.0
qtd,mv_err,0.05380706016111673,nan,0.14492489965665076,0.05967242922421882,0.0,0.0,0.0,0.0
ctd,phi_mse,0.23657620263212512,0.1189251647686644,0.2331380320588888,0.23745878275845766,0.0,0.0,0.0,0.0
ctd,ks,0.21097988296417608,0.14161122220008424,0.23895986497823438,0.19877768712324653,0.0,0.0,0.0,0.0
ctd,w1,0.28199648625859347,0.385501075127026,0.3716799862585324,0.31209782869285063,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027350725628320565,0.01961706204268457,0.03852604192034886,0.027710075856031934,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.020787328856251713,0.015423737970654963,0.031782618029494225,0.021925727696374856,0.0,0.0,0.0,0.0
ctd,cvar_err,22.867822012062575,22.964068919641367,22.40780641460008,30.904495897600615,0.0,0.0,0.0,0.0
ctd,er_err,0.1040955387104983,nan,0.15877223633583923,0.11707526145739007,0.0,0.0,0.0,0.0
ctd,mean_err,0.04626017725580099,nan,0.1314911187566351,0.04527626787269995,0.0,0.0,0.0,0.0
ctd,var_err,0.14704692285897,nan,0.18827779090789765,0.14274680068527554,0.0,0.0,0.0,0.0
ctd,mv_err,0.050316012416415444,nan,0.14251873071858662,0.04125517577464696,0.0,0.0,0.0,0.0
mog_cqn,phi_mse,4.028194311456354e-05,0.00034740593776359807,0.0020954621868698444,0.006205937973822866,0.0,0.0,0.0,0.0
mog_cqn,ks,0.01101697360173377,0.015293267834741766,0.022490802821683524,0.04521110696960982,0.0,0.0,0.0,0.0
mog_cqn,w1,0.050508550869019606,0.04828722160475001,0.03671593347019296,0.07406157461214255,0.0,0.0,0.0,0.0
mog_cqn,cramer_l2,0.00036024220156331355,0.0002540832256377948,0.00032971532274504424,0.0007740201996360847,0.0,0.0,0.0,0.0
mog_cqn,cf_l2_w,0.0002615032657542597,0.00023223166479129133,0.000303412297028698,0.0005658463754097891,0.0,0.0,0.0,0.0
mog_cqn,cvar_err,22.989045209297,21.74386460028684,22.563152004201694,29.235741105975915,0.0,0.0,0.0,0.0
mog_cqn,er_err,0.0224363436807959,nan,0.014297154883921047,0.017858696774975875,0.0,0.0,0.0,0.0
mog_cqn,mean_err,0.02247697636600389,nan,0.014182958319783211,0.12196234543416369,0.0,0.0,0.0,0.0
mog_cqn,var_err,0.014492008191349166,nan,0.038730422574174805,20.323213078321377,0.0,0.0,0.0,0.0
mog_cqn,mv_err,0.022610923507866497,nan,0.01350710002611789,2.154183337193348,0.0,0.0,0.0,0.0
