step,phi_mse_iqn,phi_mse_cf,ks_iqn,ks_cf,w1_iqn,w1_cf
1000,0.003683120640007684,0.007938350936708888,0.09500645728749779,0.1511565962086972,0.4690055851325774,2.2891370236830335
10000,0.002924363052370592,0.0015527251475068301,0.09090645728749763,0.04532399874448456,0.3123426630379447,0.5908687443815607
100000,0.0015101257169569812,0.00027294595797822704,0.07717674646756711,0.003969677710598196,0.2987956438820797,0.08416715952474349
