step,cramer_l2_dirac,cf_l2_w_dirac,cramer_l2_dirac_ci95,cf_l2_w_dirac_ci95
1000.0,0.029436129921425157,0.02741683359724349,0.010763576682469743,0.009678853183897279
2000.0,0.019134096762215544,0.017444163322040608,0.006370169370861512,0.006034290309092067
3000.0,0.015357159663472952,0.013253004092233983,0.0034268811707781517,0.003570337558515779
4000.0,0.013164055822713966,0.011052089935262733,0.0032272933309324364,0.002679256004757976
5000.0,0.011587610111767,0.009912919552709417,0.005102634183635049,0.004720097421651877
6000.0,0.0117828575874903,0.010109116724056844,0.004500943595723986,0.0040941073662728
7000.0,0.012872403060778826,0.010968134752060914,0.0055236797815325315,0.00428189721203332
8000.0,0.011601101084975736,0.009938751492985856,0.010170430076285611,0.009246798422157072
9000.0,0.010886461744625106,0.008897901612100575,0.005304245558210493,0.00416747476625523
10000.0,0.01022536306221062,0.008784238780458144,0.00296169332755856,0.0026229930955305038
11000.0,0.00976866098949489,0.008429198091731017,0.0044641801718164256,0.004059206682073427
12000.0,0.013594172240299985,0.011929657418031665,0.013243933609976489,0.011550457515366869
13000.0,0.010989067505692021,0.009617274909832819,0.0034062653462808997,0.0035278879329765783
14000.0,0.008967433381581602,0.007744835561018082,0.0025780063808100743,0.002591584671449589
15000.0,0.01078762420729247,0.009028200916548462,0.005920974179397367,0.005243189878278551
16000.0,0.011404695344477514,0.009925194258487879,0.004364164662184874,0.0036300283955915833
17000.0,0.010557860575836788,0.00912484536730478,0.0029283646793989574,0.002648032541259505
18000.0,0.009764844378513975,0.008303067179990251,0.005301141886366944,0.005025819629722012
19000.0,0.010549724158880443,0.00883660211882903,0.005298183171708925,0.00456509047831396
20000.0,0.013458889036723789,0.011577361811925414,0.010220101058298271,0.008543486670829365
