dataset_size,algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
100000,ctd,w1,0.31630170044946737,1.1088146601943802,0.6247747529742804,0.380354872688876,0.0027537589174504006,0.06499585729923575,0.029701701003400353,0.0028319935946845213
100000,ctd,cramer_l2,0.03786350521905834,0.13324499277825605,0.08900034302897791,0.04273659039773609,0.0009350445820562156,0.017337061421189567,0.00804104622751055,0.0011370296047497623
100000,ctd,cf_l2_w,0.031389411506031396,0.10458029117824046,0.07589717685309663,0.03535112317690375,0.0011161912135751958,0.013202612091391685,0.007524025344968153,0.0015766274333842178
100000,qtd,w1,0.24310526512416297,0.9129524644764409,0.5733007292562815,0.29889795512073847,0.0168056381384582,0.033073047699451394,0.017285711276536102,0.019704763231766422
100000,qtd,cramer_l2,0.01803158741913074,0.10251186876780134,0.08050114328794264,0.022500477289979323,0.0026402641193602324,0.008590115109848594,0.004290192128722788,0.003182164742650542
100000,qtd,cf_l2_w,0.017271821885324577,0.08650962116896586,0.07654224724990684,0.021437214193745578,0.002489177274644878,0.0076334238876532585,0.004178333934746858,0.0030938045136047142
100000,dirac,w1,0.15431732314239915,0.6058138187419317,0.29732933412302265,0.17741128824291122,0.015152811337071371,0.10506457719161758,0.08430073131111679,0.018690389475703888
100000,dirac,cramer_l2,0.006701682999763587,0.04120071811178362,0.01707524280201434,0.005571123798848407,0.0014249090102640247,0.014973434681470906,0.007391893900074747,0.0016017869244866394
100000,dirac,cf_l2_w,0.0058200767143469605,0.033417761572700835,0.014870162939786574,0.004744067488084887,0.0013117295955224224,0.013085160370013203,0.006419953003194029,0.0016602621633581528
100000,phi_cat,w1,0.2948482248600709,0.7977751670969065,0.470291760746626,0.32768939828595733,0.006801821270768283,0.05717687638587238,0.04566276140344615,0.008579357123672063
100000,phi_cat,cramer_l2,0.02992012126190548,0.08336170606748408,0.051541672461540976,0.029963996304274654,0.0014162580743015637,0.014598215395558587,0.005322539890002033,0.0009454036808609818
100000,phi_cat,cf_l2_w,0.02399222302525491,0.06328169905328837,0.04425665037988813,0.024226742969683558,0.001252970947977398,0.009076646222784772,0.0052977105197296905,0.0009273053073907967
100000,phi_qt,w1,0.16063035745506682,0.37748046067126545,0.1983904033677441,0.17472652134861638,0.01674625697070758,0.06687342905667407,0.021694049853451837,0.01862343155851472
100000,phi_qt,cramer_l2,0.006944047773447734,0.012078796436524621,0.009710890232257663,0.005110034229503208,0.0013493778779849763,0.0050515718511609745,0.0040571542187856375,0.00113567769883944
100000,phi_qt,cf_l2_w,0.0062774123741695595,0.011349197886850947,0.009232687892894218,0.004431789535954961,0.001260668256616371,0.004792530377969153,0.004072953871067691,0.0009531344453815123
200000,ctd,w1,0.29186257377196134,0.6592017078078587,0.4571835719090053,0.3310879726340254,0.005291883979152033,0.010298207882409966,0.022104345188883084,0.004407870232216071
200000,ctd,cramer_l2,0.030142786389508274,0.048593059964799144,0.05131095656537495,0.031193162439878807,0.001346926569689673,0.0022341287675956387,0.002746696266787429,0.0014164683107115476
200000,ctd,cf_l2_w,0.024027078790748047,0.03875279545378632,0.04395305231759013,0.025421931462116288,0.00023079812939418644,0.001461540120819574,0.0037349161859612664,0.000502420680171279
200000,qtd,w1,0.22134416079118874,0.556871877790735,0.42335019964140974,0.2565053708505407,0.01664614925743892,0.02509694346885017,0.025192439464386786,0.016142303945763714
200000,qtd,cramer_l2,0.013019530130234038,0.03549201463552441,0.04840425041384883,0.014461386195601241,0.0019762847028829953,0.002917371383504779,0.005335868521657089,0.0023416545440088305
200000,qtd,cf_l2_w,0.012573352505500327,0.03166171892577903,0.0473281648902522,0.013818944477455885,0.0019073189244215919,0.0028754558788864617,0.00523619302388505,0.002059685389151031
200000,dirac,w1,0.1428875432969549,0.48307017499789734,0.2512741231176044,0.17875172239399637,0.018447929330773164,0.06335206990529145,0.06263998226130532,0.01759311517428289
200000,dirac,cramer_l2,0.005542812745376398,0.01836777092067817,0.012330975533307012,0.005541235922554153,0.0018702814918786675,0.0032227524577645283,0.0036753267180962873,0.0016425058401896143
200000,dirac,cf_l2_w,0.004797509581978743,0.015346478377413538,0.011052898137696417,0.004843660729429001,0.0018673276881823444,0.0028149896669577403,0.003348293853231163,0.00160712846484967
200000,phi_cat,w1,0.2898448863685933,0.4937019987172576,0.40343117958306,0.3180927192616353,0.006282011386126709,0.04588757810207119,0.05148648249418241,0.009336059431000188
200000,phi_cat,cramer_l2,0.028114352888289035,0.03139754364924283,0.03938579219136423,0.028931666153369267,0.001609963522320974,0.007322586358659713,0.0034140459217480994,0.0014216586978821465
200000,phi_cat,cf_l2_w,0.022347930884342747,0.026011672736473385,0.03414773144415159,0.02284379184743472,0.0015220384307288743,0.005369179918151077,0.003802075409091621,0.000705689894901057
200000,phi_qt,w1,0.15167717712987644,0.3521035719755316,0.2040129057407778,0.1670363531548133,0.021315734248976488,0.035566194386783774,0.027535885712175346,0.0165852710315524
200000,phi_qt,cramer_l2,0.005731074700963979,0.009317543480746603,0.008978390532271905,0.004331853307998087,0.0015699625057699028,0.0022563072426293736,0.001905306427279505,0.0011896567339007257
200000,phi_qt,cf_l2_w,0.005105360183602999,0.008819342177942037,0.00851008260839388,0.003754093460455956,0.0014252229469187952,0.0025266397426478874,0.0018574563851617364,0.0010800577135636263
300000,ctd,w1,0.2871687982631662,0.5116854691272252,0.3841967292922252,0.32192227571617016,0.006053647870389693,0.017067103303653377,0.017986240380559727,0.005853424383002188
300000,ctd,cramer_l2,0.028429936952214456,0.03075504471295006,0.04106947673018387,0.029504764685379707,0.0016291300081840725,0.0020359839249587497,0.001555109254559224,0.0006176942595474327
300000,ctd,cf_l2_w,0.02226752438638515,0.024990501663902744,0.03445154208295058,0.023551976249171293,0.0004973408085404368,0.0013877370829489019,0.0018295324604826412,0.0007356321538110929
