algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.29186257377196134,0.6592017078078587,0.4571835719090053,0.3310879726340254,0.005291883979152033,0.010298207882409966,0.022104345188883084,0.004407870232216071
ctd,cramer_l2,0.030142786389508274,0.048593059964799144,0.05131095656537495,0.031193162439878807,0.001346926569689673,0.0022341287675956387,0.002746696266787429,0.0014164683107115476
ctd,cf_l2_w,0.024027078790748047,0.03875279545378632,0.04395305231759013,0.025421931462116288,0.00023079812939418644,0.001461540120819574,0.0037349161859612664,0.000502420680171279
qtd,w1,0.22134416079118874,0.556871877790735,0.42335019964140974,0.2565053708505407,0.01664614925743892,0.02509694346885017,0.025192439464386786,0.016142303945763714
qtd,cramer_l2,0.013019530130234038,0.03549201463552441,0.04840425041384883,0.014461386195601241,0.0019762847028829953,0.002917371383504779,0.005335868521657089,0.0023416545440088305
qtd,cf_l2_w,0.012573352505500327,0.03166171892577903,0.0473281648902522,0.013818944477455885,0.0019073189244215919,0.0028754558788864617,0.00523619302388505,0.002059685389151031
dirac,w1,0.1428875432969549,0.48307017499789734,0.2512741231176044,0.17875172239399637,0.018447929330773164,0.06335206990529145,0.06263998226130532,0.01759311517428289
dirac,cramer_l2,0.005542812745376398,0.01836777092067817,0.012330975533307012,0.005541235922554153,0.0018702814918786675,0.0032227524577645283,0.0036753267180962873,0.0016425058401896143
dirac,cf_l2_w,0.004797509581978743,0.015346478377413538,0.011052898137696417,0.004843660729429001,0.0018673276881823444,0.0028149896669577403,0.003348293853231163,0.00160712846484967
phi_cat,w1,0.2898448863685933,0.4937019987172576,0.40343117958306,0.3180927192616353,0.006282011386126709,0.04588757810207119,0.05148648249418241,0.009336059431000188
phi_cat,cramer_l2,0.028114352888289035,0.03139754364924283,0.03938579219136423,0.028931666153369267,0.001609963522320974,0.007322586358659713,0.0034140459217480994,0.0014216586978821465
phi_cat,cf_l2_w,0.022347930884342747,0.026011672736473385,0.03414773144415159,0.02284379184743472,0.0015220384307288743,0.005369179918151077,0.003802075409091621,0.000705689894901057
phi_qt,w1,0.15167717712987644,0.3521035719755316,0.2040129057407778,0.1670363531548133,0.021315734248976488,0.035566194386783774,0.027535885712175346,0.0165852710315524
phi_qt,cramer_l2,0.005731074700963979,0.009317543480746603,0.008978390532271905,0.004331853307998087,0.0015699625057699028,0.0022563072426293736,0.001905306427279505,0.0011896567339007257
phi_qt,cf_l2_w,0.005105360183602999,0.008819342177942037,0.00851008260839388,0.003754093460455956,0.0014252229469187952,0.0025266397426478874,0.0018574563851617364,0.0010800577135636263
