step,w1_phi_mog,cramer_l2_phi_mog,cf_l2_w_phi_mog
1000.0,0.17363035769257953,0.004826358361922023,0.0044828106905838265
2000.0,0.11879845318097397,0.0022657776138664733,0.00210688688399571
3000.0,0.11318728924472618,0.002004021608185197,0.001822641292944321
4000.0,0.11676591429734123,0.0025239589361599596,0.0023094579049472473
5000.0,0.09191828662180496,0.0014504717265838725,0.0013737824269804055
6000.0,0.08854085351894464,0.0017461476974749684,0.0016399956000580833
7000.0,0.0997757231614641,0.0018951251644290703,0.0017256214609427207
8000.0,0.0860921518505125,0.001377905384829454,0.001290415361479962
9000.0,0.10170402170823299,0.0019456724724679598,0.0018050255978802818
10000.0,0.07691339849605289,0.001324156948445426,0.0011944892147760225
11000.0,0.09880584735036549,0.001968206048410183,0.0017726279113297783
12000.0,0.08688532298096763,0.0015397250619835793,0.0014367610530214888
13000.0,0.12464881876864128,0.0025577619363107576,0.002179180829295366
14000.0,0.08236909491686363,0.0011463176073108483,0.0010306120061857966
15000.0,0.10353899160072819,0.0017636898234980095,0.0015518894749871797
16000.0,0.09856404200117268,0.0017153220320329033,0.0014114303973644894
17000.0,0.085418891676956,0.0009945743775131466,0.0008618545962947051
18000.0,0.08938633022472364,0.0013912471639442859,0.0012021688189533346
19000.0,0.09821756750042346,0.0015742505750983321,0.0013117306035600367
20000.0,0.09781442511034431,0.0013082440230663436,0.001045559735842958
