algorithm,Gauss,Cauchy,MoG,Gam
phi_mog,0.000607298441023087,0.0019198512198060627,0.0025335285808618206,0.0012774894954104559
phi_moc,0.002261400055026906,0.00016338719166332082,0.0009258774135335067,0.0015252869798215603
phi_mogamma,0.26078507264634954,0.7209075614363252,0.6942922187484052,0.00010598854429048641
phi_cat,0.020363892599904725,0.01154908902287828,0.028451847113289307,0.02271053508065683
phi_qt,0.0007907312616195002,0.0026606785288156138,0.002182016994887182,0.0006976148652545155
