algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
phi_mog,w1,0.06140845129736688,0.14001017157769882,0.12018478336622364,0.08419620505528706,0.0,0.0,0.0,0.0
phi_mog,cramer_l2,0.0006766256205767765,0.0022843573257294134,0.0029273442221450893,0.0016183807872855297,0.0,0.0,0.0,0.0
phi_mog,cf_l2_w,0.0005698735441503662,0.0015581246000255199,0.00256032669297062,0.0013423227982469227,0.0,0.0,0.0,0.0
phi_moc,w1,0.11965696861474452,0.037849537242330186,0.07608932830114222,0.13216539159136922,0.0,0.0,0.0,0.0
phi_moc,cramer_l2,0.003940806178395751,0.0001825030023990589,0.0017637952089102995,0.002498554978442794,0.0,0.0,0.0,0.0
phi_moc,cf_l2_w,0.002608265695511847,0.00015755523457077614,0.0008531918443755433,0.001347476269613903,0.0,0.0,0.0,0.0
phi_mogamma,w1,0.7163926130914916,2.5799479893139905,1.9552190101648448,0.12584557616943456,0.0,0.0,0.0,0.0
phi_mogamma,cramer_l2,0.2984417991421808,0.8119214705081097,0.7406481271483197,0.001809356616179949,0.0,0.0,0.0,0.0
phi_mogamma,cf_l2_w,0.26267362238024766,0.7463969374438983,0.7004857795811136,0.0018612658703025093,0.0,0.0,0.0,0.0
phi_cat,w1,0.2832133533771537,0.3909148017399563,0.3348463568916342,0.30899795886971326,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.028102124125188754,0.01869864915834611,0.03765689772912173,0.028620742566476922,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.02106073272913529,0.014751117973858597,0.030940172430386412,0.022967079353094427,0.0,0.0,0.0,0.0
phi_qt,w1,0.10110844341316262,0.2179350519838796,0.13530687555600188,0.18154522188185665,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.002146728294078069,0.003015759200168659,0.003937519062593467,0.003689659668526226,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.0015980230492114221,0.0035162777632235746,0.003356864872700306,0.0032582853231351125,0.0,0.0,0.0,0.0
