algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.28283676975236266,0.406949167996398,0.34971873885168664,0.3142295334566486,0.00370239657201216,0.005200239556543327,0.0156815282330617,0.0033392795955591924
ctd,cramer_l2,0.027144456875162464,0.02145561314830296,0.03721047772241569,0.02817167554023863,0.0009993448251722288,0.0005737453861202445,0.0016817291929073536,0.0011597369755754993
ctd,cf_l2_w,0.021075554854984312,0.01707495021767226,0.03090876707935351,0.022234003285959633,0.0001669932069074651,0.0005815126958717636,0.0009551360007717303,0.00041395387873640764
qtd,w1,0.2001804563250696,0.3983052555865573,0.36503324552499833,0.24740672160501584,0.011029446330585975,0.02283168813236453,0.04167130915728817,0.02026627627702159
qtd,cramer_l2,0.009577540195544593,0.016968380693093192,0.03881066954875782,0.013643730334666388,0.0011464631060550635,0.0031695404933219495,0.009654660844853618,0.003528774257623152
qtd,cf_l2_w,0.009253431257945526,0.01652466543819956,0.03850007384963898,0.01307301764452461,0.001190901030316457,0.0032470130434150675,0.009626452818853541,0.0032020081210960283
dirac,w1,0.1324316645637853,0.43173116807111833,0.22952735933848153,0.15531284618223754,0.015231891885230199,0.05135738969213203,0.04640340361921567,0.0069776911524309935
dirac,cramer_l2,0.004635103684103528,0.013921566816991937,0.010263033669461812,0.0037659970652369366,0.0012779499363995673,0.004798688191862147,0.0013503065465157965,0.000377489432181335
dirac,cf_l2_w,0.0039323182630914225,0.011650723065912397,0.009165494491497384,0.0030500832333095946,0.00127202454741206,0.004932771332279856,0.0009581962612848928,0.00040496054042182925
phi_cat,w1,0.2885957551760932,0.4218306268365061,0.3470672403900535,0.31717105795181777,0.006335202753354558,0.04778409948441866,0.03892804188340824,0.0023611266054587247
phi_cat,cramer_l2,0.028293310283085654,0.022430697829044742,0.035295842289797666,0.028103692846373048,0.0018762346430304985,0.0034257161401444317,0.0008907347226673832,0.0006287311439278099
phi_cat,cf_l2_w,0.022102511174914567,0.01836757808415903,0.02994567592594341,0.02257455307370572,0.0014704286433737277,0.002137448218619663,0.0013711361653640846,0.0007206921256118536
phi_qt,w1,0.14383464708614438,0.38332449610037217,0.18942627564753853,0.1674921506244152,0.017854928081722378,0.045780166509129305,0.013114065841777938,0.02498732697692686
phi_qt,cramer_l2,0.0052540800397197236,0.010217219477251804,0.008621396655599984,0.004322351896508314,0.00150435137074733,0.0027488720145260703,0.0005604564452521725,0.0015741884020633542
phi_qt,cf_l2_w,0.004624839121711325,0.009351661838300227,0.008133780743524676,0.003509317916508002,0.0013877293042218032,0.002905793437830478,0.0005600542434112939,0.0012589556078706002
